id,Page,Removed,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value,Name,locality,city,golden,rent,status,tag_as,siteVisitCount
169,/property/169,,2,2,0:00:00,1,0.00%,0.00%,$0.00 ,Sarjapur Building - 44,sarjapur,bengaluru,0,11000,blocked,marketplace,0
262,/property/262,,85,77,0:01:47,32,90.62%,49.41%,$0.00 ,"Prestige Lakeside Habitat , 7226",Gunjur Village,bengaluru,0,30000,available,marketplace,0
263,/property/263,,78,64,0:00:58,22,54.55%,38.46%,$0.00 ,"Parimala Sunridge , C 324",Brookefield,bengaluru,0,40000,blocked,marketplace,0
219,/property/219,,2,2,0:00:00,2,0.00%,0.00%,$0.00 ,Kalpataru Harmony,Wakad,pune,0,22000,blocked,marketplace,0
268,/property/268,,22,21,0:00:42,0,0.00%,27.27%,$0.00 ,Viva Icon,Hinjewadi,pune,0,16500,occupied,marketplace,0
271,/property/271,,27,23,0:00:37,9,66.67%,55.56%,$0.00 ,Sobha Petunia,Thanisandra,bengaluru,0,85000,blocked,marketplace,0
33,/property/33,,2,2,0:00:26,0,0.00%,0.00%,$0.00 ,"DLF Maiden Heights A-9, Electronic City",Electronic City,bengaluru,0,29700,blocked,marketplace,0
273,/property/273,,27,26,0:01:09,4,25.00%,25.93%,$0.00 ,Candeur Rise,Varthur,bengaluru,0,28000,blocked,marketplace,0
173,/property/173,,2,1,0:01:27,0,0.00%,0.00%,$0.00 ,Raheja Residency Car Park,Koramangala,bengaluru,0,2500,available,marketplace,0
279,/property/279,,11,9,0:01:35,0,0.00%,9.09%,$0.00 ,Shyam Residency,Doddakamanhalli,bengaluru,0,477000,occupied,marketplace,0
280,/property/280,,6,6,0:00:30,0,0.00%,16.67%,$0.00 ,Aragini Comforts,Hulimavu,bengaluru,0,530000,available,marketplace,0
281,/property/281,,82,65,0:02:24,13,84.62%,29.27%,$0.00 ,Shyam In,VV Puram,bengaluru,0,675000,occupied,marketplace,0
249,/property/249,,31,31,0:01:47,8,75.00%,41.94%,$0.00 ,Godrej E-City,Electronic City,bengaluru,0,23220,occupied,managed,0
283,/property/283,,15,13,0:02:58,5,20.00%,33.33%,$0.00 ,Meva House,JP Nagar,bengaluru,0,22000,blocked,managed,0
266,/property/266,,13,12,0:01:52,4,75.00%,46.15%,$0.00 ,"Prime City , G-09",Electronic City,bengaluru,0,33000,blocked,marketplace,0
285,/property/285,,13,11,0:00:30,3,33.33%,30.77%,$0.00 ,Confident Bellatrix,Thyvakanahally,bengaluru,0,3000,occupied,managed,0
105,/property/105,,13,13,0:00:49,0,0.00%,38.46%,$0.00 ,Prestige Park View,Whitefield,bengaluru,0,38850,occupied,managed,0
284,/property/284,,58,52,0:01:03,7,100.00%,31.03%,$0.00 ,Infrany Petals,Electronic City,bengaluru,0,13100,occupied,managed,0
289,/property/289,,17,16,0:00:39,2,0.00%,17.65%,$0.00 ,Hiranandani Club Meadows,Bannerghatta,bengaluru,0,45000,blocked,marketplace,0
287,/property/287,,72,66,0:01:33,12,83.33%,30.56%,$0.00 ,SNSY Arcade,Whitefield,bengaluru,0,23000,available,marketplace,0
294,/property/294,,49,46,0:01:22,15,80.00%,42.86%,$0.00 ,Mantri Residency,Bannerghatta,bengaluru,0,34000,occupied,managed,0
292,/property/292,,34,30,0:00:46,6,16.67%,32.35%,$0.00 ,Krishnakrupa,Sahakar Nagar,bengaluru,0,40000,available,marketplace,0
295,/property/295,,12,12,0:00:34,1,0.00%,25.00%,$0.00 ,"202,Sahakarnagar",Sahakar Nagar,bengaluru,0,25000,available,marketplace,0
