id,name,property_id,sqftsuper,image,images,type,sharetype,rent,parkingcharges,deposite,maintenance,status,availablebed,totalbed,availfrom,availto,windowstyle,iswindowmesh,details,parking_number,created_at,updated_at,tenure,windows,plugpoints,lights,tubelights,fans,showbulbs,balconylights,commpercentage,tds
232,ROOM2,89,202,0,0,single,0,17900,750,53700,0,occupied,0,1,2017-05-01,2018-04-01,french,no,,0,"2017-04-20 13:56:03","2018-04-19 14:09:14",6,1,4,0,0,0,0,0,0.00,NULL
233,ROOM3,89,205,0,0,single,0,17900,750,53700,0,occupied,0,1,2017-05-01,2018-04-01,french,no,,0,"2017-04-20 13:56:03","2017-05-17 03:15:26",6,0,4,0,0,0,0,0,0.00,NULL
234,ROOM4,89,228,0,0,single,0,17900,750,53700,0,occupied,0,1,2017-05-01,2018-04-01,french,no,,0,"2017-04-20 13:56:03","2017-05-17 03:15:26",6,1,4,0,0,0,0,0,0.00,NULL
235,ROOM5,89,202,0,0,single,0,17900,750,53700,0,available,1,1,2017-05-01,2018-04-01,french,no,,0,"2017-04-20 13:56:03","2018-04-17 19:12:07",6,0,4,0,0,0,0,0,0.00,NULL
236,"Room 1",90,88,0,0,single,0,14000,750,42000,0,occupied,0,1,2017-04-25,2018-03-25,normal,yes,"Single Room with shared bath",,"2017-04-25 23:34:23","2018-05-21 19:53:30",6,1,4,1,1,1,0,0,0.00,0.00
237,"Room 2",90,125,0,0,shared,0,9000,750,27000,0,occupied,0,1,2017-04-25,2018-03-25,normal,yes,"Shared Master Bedroom with attached balcony & bathroom",,"2017-04-25 23:34:23","2018-05-21 19:53:30",6,2,4,1,1,1,0,1,0.00,0.00
238,"Room 3",90,120,0,0,single,0,15000,750,45000,0,occupied,0,1,2017-04-25,2018-03-25,normal,yes,"Single Room with shared bath",,"2017-04-25 23:34:23","2018-05-21 19:53:31",6,1,4,1,1,1,0,0,0.00,0.00
239,ROOM1,93,90,0,0,single,0,17900,0,53700,500,occupied,0,1,2017-05-08,2018-04-08,normal,yes,,0,"2017-05-05 14:04:30","2017-05-23 16:51:34",6,1,2,0,1,1,0,0,0.00,NULL
240,"Room 1",94,250,0,0,shared,0,26000,750,78000,0,available,2,2,2017-05-15,2018-04-15,normal,yes,,B-708,"2017-05-10 00:05:18","2017-05-19 12:24:52",11,1,2,1,0,1,0,0,0.00,NULL
241,"Room 2",94,250,0,0,shared,0,26000,750,78000,0,available,2,2,2017-05-15,2018-04-15,normal,yes,,B-708,"2017-05-10 00:05:18","2017-05-19 12:24:52",11,1,2,1,0,1,0,0,0.00,NULL
242,"Room 3",94,250,0,0,shared,0,26000,750,78000,0,available,2,2,2017-05-15,2018-04-15,normal,yes,,,"2017-05-10 00:05:18","2017-05-19 12:24:52",11,0,0,0,0,0,0,0,0.00,NULL
243,ROOM1,95,90,0,0,single,0,9900,0,29700,0,occupied,0,1,2017-06-10,2018-05-10,normal,yes,,0,"2017-05-29 16:11:54","2018-02-19 12:10:11",6,1,3,0,1,1,0,0,0.00,NULL
244,ROOM1,96,144,0,0,single,0,14900,750,44700,0,occupied,0,1,2017-06-15,2018-05-15,french,no,,0,"2017-05-29 16:15:07","2017-07-26 03:54:29",6,1,4,0,0,0,0,0,0.00,NULL
245,ROOM2,96,144,0,0,single,0,12900,750,38700,0,occupied,0,1,2017-06-15,2018-05-15,french,no,,0,"2017-05-29 16:15:07","2017-07-26 03:54:29",6,1,4,0,0,0,0,0,0.00,NULL
246,ROOM3,96,85,0,0,single,0,9900,750,29700,0,occupied,0,1,2017-06-15,2018-05-15,french,no,,0,"2017-05-29 16:15:07","2017-11-22 11:20:27",6,1,3,0,0,0,0,0,0.00,NULL
250,ROOM1,98,133,0,0,single,0,14900,750,44700,0,available,1,1,2017-07-15,2018-06-15,french,yes,,0,"2017-06-21 18:41:25","2018-05-06 13:37:31",6,0,0,0,0,0,0,0,0.00,NULL
251,ROOM2,98,150,0,0,shared,0,15900,750,47700,0,occupied,0,1,2017-07-15,2018-06-15,french,yes,,0,"2017-06-21 18:41:25","2018-02-19 13:29:47",6,0,0,0,0,0,0,0,0.00,NULL
252,ROOM3,98,137,0,0,single,0,13900,750,41700,0,available,1,1,2017-07-15,2018-06-15,french,yes,,0,"2017-06-21 18:41:25","2017-07-25 12:31:16",6,0,0,0,0,0,0,0,0.00,NULL
253,ROOM1,99,120,0,0,single,0,9900,750,29700,0,occupied,0,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 20:12:48","2017-10-25 12:20:48",6,1,3,1,1,0,0,0,0.00,NULL
254,ROOM2,99,130,0,0,single,0,13900,750,41700,0,available,1,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 20:12:48","2018-02-07 19:03:15",6,2,3,1,1,0,0,1,0.00,NULL
255,ROOM3,99,125,0,0,single,0,12900,750,38700,0,occupied,0,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 20:12:48","2017-08-29 13:43:08",6,1,3,1,1,1,0,1,0.00,NULL
256,ROOM4,99,120,0,0,single,0,9900,750,29700,0,occupied,0,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 20:12:48","2017-12-21 18:37:16",6,0,4,1,1,0,0,1,0.00,NULL
257,ROOM1,100,120,0,0,single,0,10900,750,32700,0,occupied,0,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 21:10:19","2018-03-23 15:40:59",6,0,0,0,0,0,0,0,0.00,NULL
258,ROOM2,100,120,0,0,single,0,12900,750,38700,0,occupied,0,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 21:10:19","2017-08-18 17:42:17",6,0,0,0,0,0,0,0,0.00,NULL
259,ROOM3,100,120,0,0,single,0,12900,750,38700,0,available,1,1,2017-07-01,2018-06-01,french,no,,0,"2017-06-21 21:10:19","2018-03-23 14:54:06",6,0,0,0,0,0,0,0,0.00,NULL
263,ROOM1,102,179,0,0,single,0,18900,750,56700,0,occupied,0,1,2017-07-15,2018-06-15,french,no,,0,"2017-06-24 12:51:53","2017-07-26 04:32:17",6,1,0,0,0,0,0,0,0.00,NULL
264,ROOM2,102,134,0,0,single,0,17900,750,53700,0,occupied,0,1,2017-07-15,2018-06-15,french,no,,0,"2017-06-24 12:51:53","2017-08-01 14:58:17",6,1,3,0,0,0,0,0,0.00,NULL
265,ROOM3,102,127,0,0,single,0,16900,750,50700,0,occupied,0,1,2017-07-15,2018-06-15,french,no,,0,"2017-06-24 12:51:53","2017-07-26 04:40:41",6,1,4,0,0,0,0,0,0.00,NULL
266,ROOM1,103,75,0,0,single,0,17000,750,51000,0,available,1,1,2017-06-23,2018-05-23,normal,yes,,0,"2017-06-28 13:15:19","2018-06-25 18:24:33",6,1,1,1,0,1,0,0,0.00,NULL
267,ROOM2,103,141,0,0,single,0,16000,750,48000,0,occupied,0,1,2017-06-23,2018-05-23,normal,yes,,0,"2017-06-28 13:15:19","2017-11-22 11:18:51",6,0,2,0,1,1,0,0,0.00,NULL
268,ROOM3,103,250,0,0,single,0,15000,750,45000,0,occupied,0,1,2017-06-23,2018-05-23,normal,yes,,0,"2017-06-28 13:15:19","2017-07-27 00:59:48",6,1,4,1,1,1,0,0,0.00,NULL
269,ROOM4,103,180,0,0,single,0,7500,750,22500,0,occupied,0,1,2017-06-23,2018-05-23,normal,yes,"no ",0,"2017-06-28 13:15:19","2017-09-04 20:31:36",6,0,3,0,1,1,0,0,0.00,NULL
